Name,Unique ID
Heidenheim,880.295
St. Pauli,946
Union Berlin,121.182
Borussia M'gladbach,908
Eintracht Frankfurt,912
Köln,916
Wolfsburg,961
Augsburg,2.238
Mainz,918
Hamburg,947
Stuttgart,960
RB Leipzig,91.013.388
Bayer Leverkusen,901
Werder Bremen,948
Freiburg,944
Hoffenheim,879.226
Borussia Dortmund,907
FC Bayern,915
Brentford,617
Bournemouth,600
Nottm Forest,692
West Ham,735
Crystal Palace,642
Newcastle,688
Burnley,622
Fulham,654
Man Utd,680
Wolves,740
Brighton,618
Everton,650
Leeds,671
Sunderland,722
Arsenal,602
Aston Villa,603
Chelsea,630
Liverpool,676
Man City,679
Tottenham,728
Mallorca,1.726
Rayo Vallecano,1.729
Alavés,1.688
Getafe,1.710
Girona,814.089
Real Betis,1.733
Osasuna,1.685
Elche,1.707
Levante,1.717
Real Oviedo,1.741
Celta,1.724
Sevilla,1.759
Valencia,1.775
Atlético,1.687
Espanyol,1.725
Villarreal,1.777
Athletic,1.664
Real Madrid,1.736
Real Sociedad,1.742
Barcelona,1.708
Angers,875
Strasbourg,872
Brest,2.061
Paris FC,867
Metz,844
Nantes,846
Havre AC,856
Toulouse,886
Lorient,2.005
Auxerre,824
Lille,858
Marseille,866
Lens,871
Rennes,884
Nice,862
Lyon,865
Monaco,826
PSG,868
Como,1.123
Pisa,2.215
Sassuolo,3.800.256
Hellas Verona,2.201
Cagliari,1.114
Udinese,1.178
Lecce,1.141
Torino,1.174
Bologna,1.111
Genoa,1.132
Parma,1.156
Atalanta,1.106
Cremonese,1.125
Napoli,1.150
Roma,1.100
Inter,1.135
Juventus,1.139
Lazio,1.140
Milan,1.099
Fiorentina,1.129
